ADM2_PCODE,Fecha_pred,Pred_mm,Pred_t3_mm,Fecha_base
VE1909,2025-09-11,48.492405,46.39899826049805,2025-09-01
VE1910,2025-09-11,51.135384,47.08888626098633,2025-09-01
VE1911,2025-09-11,43.38534,37.14842224121094,2025-09-01
VE1912,2025-09-11,48.825596,45.847259521484375,2025-09-01
VE1913,2025-09-11,44.479,35.92875671386719,2025-09-01
VE1914,2025-09-11,50.030235,41.97486877441406,2025-09-01
VE1915,2025-09-11,49.34563,48.132408142089844,2025-09-01
VE20,2025-09-11,55.66515,62.27580261230469,2025-09-01
VE2001,2025-09-11,38.059227,44.79778289794922,2025-09-01
VE2002,2025-09-11,60.32257,76.98521423339844,2025-09-01
VE2003,2025-09-11,54.308186,62.57720947265625,2025-09-01
VE2004,2025-09-11,36.82056,45.85451889038086,2025-09-01
VE2005,2025-09-11,52.249004,52.11398696899414,2025-09-01
VE2006,2025-09-11,73.35633,68.20779418945312,2025-09-01
VE2007,2025-09-11,108.46469,106.81732940673828,2025-09-01
VE2008,2025-09-11,49.602016,53.57710266113281,2025-09-01
VE2009,2025-09-11,62.40562,81.4256591796875,2025-09-01
VE2010,2025-09-11,33.402187,41.50899124145508,2025-09-01
VE2011,2025-09-11,40.357376,42.355560302734375,2025-09-01
VE2012,2025-09-11,35.911327,46.920249938964844,2025-09-01
VE2013,2025-09-11,35.51006,44.32848358154297,2025-09-01
VE2014,2025-09-11,43.715767,44.82590103149414,2025-09-01
VE2015,2025-09-11,34.998318,44.785648345947266,2025-09-01
VE2016,2025-09-11,98.601776,87.92787170410156,2025-09-01
VE2017,2025-09-11,33.792404,40.749183654785156,2025-09-01
VE2018,2025-09-11,33.33752,37.00165557861328,2025-09-01
VE2019,2025-09-11,59.936356,69.36567687988281,2025-09-01
VE2020,2025-09-11,32.972115,43.02077102661133,2025-09-01
VE2021,2025-09-11,47.889786,53.55339050292969,2025-09-01
VE2022,2025-09-11,53.72863,64.02865600585938,2025-09-01
VE2023,2025-09-11,52.011017,61.187503814697266,2025-09-01
VE2024,2025-09-11,46.952484,62.79678726196289,2025-09-01
VE2025,2025-09-11,36.14082,47.17561721801758,2025-09-01
VE2026,2025-09-11,50.564564,53.5550651550293,2025-09-01
VE2027,2025-09-11,58.394836,64.2513198852539,2025-09-01
VE2028,2025-09-11,50.89882,59.34624099731445,2025-09-01
VE2029,2025-09-11,54.4717,63.890567779541016,2025-09-01
VE21,2025-09-11,42.323185,44.28565216064453,2025-09-01
VE2101,2025-09-11,42.150604,46.09316635131836,2025-09-01
VE2102,2025-09-11,45.852123,49.80059051513672,2025-09-01
VE2103,2025-09-11,36.916256,46.40315246582031,2025-09-01
VE2104,2025-09-11,42.44734,45.07615661621094,2025-09-01
VE2105,2025-09-11,34.89879,43.147247314453125,2025-09-01
VE2106,2025-09-11,36.82564,46.989044189453125,2025-09-01
VE2107,2025-09-11,54.18449,58.64422607421875,2025-09-01
VE2108,2025-09-11,53.824055,56.44886779785156,2025-09-01
VE2109,2025-09-11,43.590733,51.78411865234375,2025-09-01
VE2110,2025-09-11,40.81121,46.65876007080078,2025-09-01
VE2111,2025-09-11,38.43812,49.304931640625,2025-09-01
VE2112,2025-09-11,36.92359,46.8409538269043,2025-09-01
VE2113,2025-09-11,40.660065,46.74337387084961,2025-09-01
VE2114,2025-09-11,43.2194,47.62541580200195,2025-09-01
VE2115,2025-09-11,36.79478,46.03662872314453,2025-09-01
VE2116,2025-09-11,39.59314,47.229122161865234,2025-09-01
VE2117,2025-09-11,36.587845,46.876346588134766,2025-09-01
VE2118,2025-09-11,37.68291,45.695770263671875,2025-09-01
VE2119,2025-09-11,35.308067,42.821083068847656,2025-09-01
VE2120,2025-09-11,36.971592,44.57501220703125,2025-09-01
VE22,2025-09-11,40.758038,43.360260009765625,2025-09-01
VE2201,2025-09-11,41.820114,44.81340026855469,2025-09-01
VE2202,2025-09-11,41.06505,41.262779235839844,2025-09-01
VE2203,2025-09-11,38.530685,38.80199432373047,2025-09-01
VE2204,2025-09-11,45.5879,46.07025146484375,2025-09-01
VE2205,2025-09-11,44.871426,46.13682556152344,2025-09-01
VE2206,2025-09-11,38.0843,37.60424041748047,2025-09-01
